,district,name,state,chamber,party,incumbent
61,District 1,Doug LaMalfa,California,house,Republican Party,True
62,District 1,Audrey Denney,California,house,Democratic Party,False
63,District 2,Jared Huffman,California,house,Democratic Party,True
64,District 2,Dale Mensing,California,house,Republican Party,False
65,District 3,John Garamendi,California,house,Democratic Party,True
66,District 3,Charlie Schaupp,California,house,Republican Party,False
67,District 4,Tom McClintock,California,house,Republican Party,True
68,District 4,Jessica Morse,California,house,Democratic Party,False
69,District 5,Mike Thompson,California,house,Democratic Party,True
70,District 5,Anthony Mills,California,house,Independent,False
71,District 6,Doris Matsui,California,house,Democratic Party,True
72,District 6,Jrmar Jefferson,California,house,Democratic Party,False
73,District 7,Ami Bera,California,house,Democratic Party,True
74,District 7,Andrew Grant,California,house,Republican Party,False
75,District 8,Paul Cook,California,house,Republican Party,True
76,District 8,Tim Donnelly,California,house,Republican Party,False
77,District 9,Jerry McNerney,California,house,Democratic Party,True
78,District 9,Marla Livengood,California,house,Republican Party,False
79,District 10,Jeff Denham,California,house,Republican Party,True
80,District 10,Josh Harder,California,house,Democratic Party,False
81,District 11,Mark DeSaulnier,California,house,Democratic Party,True
82,District 11,John Fitzgerald,California,house,Republican Party,False
83,District 12,Nancy Pelosi,California,house,Democratic Party,True
84,District 12,Lisa Remmer,California,house,Republican Party,False
85,District 13,Barbara Lee,California,house,Democratic Party,True
86,District 13,Laura Wells,California,house,Green Party,False
87,District 14,Jackie Speier,California,house,Democratic Party,True
88,District 14,Cristina Osmeña,California,house,Republican Party,False
89,District 15,Eric Swalwell,California,house,Democratic Party,True
90,District 15,Rudy Peters,California,house,Republican Party,False
91,District 16,Jim Costa,California,house,Democratic Party,True
92,District 16,Elizabeth Heng,California,house,Republican Party,False
93,District 17,Ro Khanna,California,house,Democratic Party,True
94,District 17,Ron Cohen,California,house,Republican Party,False
95,District 18,Anna Eshoo,California,house,Democratic Party,True
96,District 18,Christine Russell,California,house,Republican Party,False
97,District 19,Zoe Lofgren,California,house,Democratic Party,True
98,District 19,Justin Aguilera,California,house,Republican Party,False
99,District 20,Jimmy Panetta,California,house,Democratic Party,True
100,District 20,Ronald Paul Kabat,California,house,Independent,False
101,District 21,David Valadao,California,house,Republican Party,True
102,District 21,TJ Cox,California,house,Democratic Party,False
103,District 22,Devin Nunes,California,house,Republican Party,True
104,District 22,Andrew Janz,California,house,Democratic Party,False
105,District 23,Kevin McCarthy,California,house,Republican Party,True
106,District 23,Tatiana Matta,California,house,Democratic Party,False
107,District 24,Salud Carbajal,California,house,Democratic Party,True
108,District 24,Justin Fareed,California,house,Republican Party,False
109,District 25,Stephen Knight,California,house,Democratic Party,False
110,District 26,Julia Brownley,California,house,Democratic Party,True
111,District 26,Antonio Sabato Jr.,California,house,Republican Party,False
112,District 27,Judy Chu,California,house,Democratic Party,True
113,District 27,Bryan Witt,California,house,Democratic Party,False
114,District 28,Adam Schiff,California,house,Democratic Party,True
115,District 28,Johnny Nalbandian,California,house,Republican Party,False
116,District 29,Tony Cardenas,California,house,Democratic Party,True
117,District 29,Benito Bernal,California,house,Republican Party,False
118,District 30,Brad Sherman,California,house,Democratic Party,True
119,District 30,Mark Reed,California,house,Republican Party,False
120,District 31,Pete Aguilar,California,house,Democratic Party,True
121,District 31,Sean Flynn,California,house,Republican Party,False
122,District 32,Grace Napolitano,California,house,Democratic Party,True
123,District 32,Joshua Scott,California,house,Republican Party,False
124,District 33,Ted Lieu,California,house,Democratic Party,True
125,District 33,Kenneth Wright,California,house,Republican Party,False
126,District 34,Jimmy Gomez,California,house,Democratic Party,True
127,District 34,Kenneth Mejia,California,house,Green Party,False
128,District 35,Norma Torres,California,house,Democratic Party,True
129,District 35,Christian Valiente,California,house,Republican Party,False
130,District 36,Raul Ruiz,California,house,Democratic Party,True
131,District 36,Kimberlin Brown Pelzer,California,house,Republican Party,False
132,District 37,Karen Bass,California,house,Democratic Party,True
133,District 37,Ron Bassilian,California,house,Republican Party,False
134,District 38,Linda Sánchez,California,house,Democratic Party,True
135,District 38,Ryan Downing,California,house,Republican Party,False
136,District 39,Gil Cisneros,California,house,Democratic Party,False
137,District 39,Young Kim,California,house,Republican Party,False
138,District 40,Lucille Roybal-Allard,California,house,Democratic Party,True
139,District 40,Rodolfo Cortes Barragan,California,house,Green Party,False
140,District 41,Mark Takano,California,house,Democratic Party,True
141,District 41,Aja Smith,California,house,Republican Party,False
142,District 42,Ken Calvert,California,house,Republican Party,True
143,District 42,Julia Peacock,California,house,Democratic Party,False
144,District 43,Maxine Waters,California,house,Democratic Party,True
145,District 43,Omar Navarro,California,house,Republican Party,False
146,District 44,Nanette Barragán,California,house,Democratic Party,True
147,District 44,Aja Brown,California,house,Democratic Party,False
148,District 45,Mimi Walters,California,house,Republican Party,True
149,District 45,Katie Porter,California,house,Democratic Party,False
150,District 46,Lou Correa,California,house,Democratic Party,True
151,District 46,Russell Lambert,California,house,Republican Party,False
152,District 47,Alan Lowenthal,California,house,Democratic Party,True
153,District 47,John Briscoe,California,house,Republican Party,False
154,District 48,Dana Rohrabacher,California,house,Republican Party,True
155,District 48,Harley Rouda,California,house,Democratic Party,False
156,District 49,Mike Levin,California,house,Democratic Party,False
157,District 49,Diane Harkey,California,house,Republican Party,False
158,District 50,Duncan Hunter,California,house,Republican Party,True
159,District 50,Ammar Campa-Najjar,California,house,Democratic Party,False
160,District 51,Juan Vargas,California,house,Democratic Party,True
161,District 51,Juan Hidalgo Jr.,California,house,Republican Party,False
162,District 52,Scott Peters,California,house,Democratic Party,True
163,District 52,Omar Qudrat,California,house,Republican Party,False
164,District 53,Susan Davis,California,house,Democratic Party,True
165,District 53,Morgan Murtaugh,California,house,Republican Party,False
